crop_id,scientific_name,soil_ph_absolute_max,soil_ph_absolute_min,soil_ph_optimal_max,soil_ph_optimal_max,rainfall_annual_optimal_max
1311,Lablab purpureus,8.0,4.5,7.5,7.5,1000.0
1313,Lactuca sativa var. capitata,7.5,4.2,7.0,7.0,1400.0
1315,Lagenaria siceraria,7.5,4.5,7.0,7.0,1800.0
1344,Leucaena leucocephala,8.5,5.0,7.7,7.7,3000.0
1357,Litchi chinensis,8.5,5.0,6.5,6.5,1700.0
1373,Luffa acutangula,7.5,4.5,7.0,7.0,2000.0
1379,Lycopersicon esculentum,7.5,5.0,6.8,6.8,1300.0
1382,Macadamia integrifolia,7.0,4.5,6.0,6.0,3000.0
1399,Macrotyloma uniflorum,8.0,5.0,7.0,7.0,1200.0
1406,Malpighia glabra,8.0,5.0,7.5,7.5,2000.0
1407,Malus domestica,8.0,4.5,7.0,7.0,2500.0
1410,Malus sylvestris,8.2,4.5,7.0,7.0,1200.0
1414,Mammea americana,8.0,5.5,6.5,6.5,1800.0
1416,Mangifera indica,8.5,4.3,7.5,7.5,1500.0
1420,Manihot esculenta,9.0,4.0,8.0,8.0,1500.0
1428,Medicago sativa,8.7,4.3,7.5,7.5,1200.0
1436,Melicoccus bijugatus,8.7,5.0,7.0,7.0,1600.0
1466,Metroxylon sagu,8.5,4.5,6.5,6.5,4500.0
1485,Monochoria vaginalis,7.0,4.0,6.5,6.5,2000.0
1488,Morinda citrifolia,7.0,4.3,6.5,6.5,3000.0
1491,Morus alba,8.3,4.3,7.5,7.5,2500.0
1500,Muntingia calabura,7.0,5.0,6.5,6.5,2000.0
1522,Nasturtium officinale,8.3,4.5,7.5,7.5,2300.0
1528,Nephelium lappaceum,7.5,4.5,6.5,6.5,3000.0
1543,Nypa fruticans,8.5,5.5,7.5,7.5,2800.0
1547,Ocimum basilicum,8.2,4.3,7.0,7.0,1600.0
1553,Olea europaea,8.5,5.3,7.0,7.0,700.0
1574,Oryza sativa,9.0,4.5,7.0,7.0,2000.0
1582,Pachyrhizus erosus,8.0,4.3,8.0,8.0,1700.0
1602,Panicum antidotale,8.2,5.5,7.5,7.5,700.0
1617,Parkinsonia aculeata,8.5,6.0,7.5,7.5,700.0
