crop_id,companion_species,crop_cycle_max,crop_cycle_min,cropping_system,labour_intensity,level_of_mechanization,product_system,subsystem
4617,,365.0,300.0,perennial crops,,,"intermediate (animal drawn), large scale/commercial, protected cultivation",
4618,,180.0,80.0,,,,,
4626,,210.0,180.0,,,,,
4631,,365.0,365.0,perennial crops,,,,
4635,,365.0,210.0,,,,,
4646,,365.0,210.0,,,,,
4659,,365.0,300.0,perennial crops,,,"home garden, small scale (manual)",
4704,,365.0,365.0,,,,home garden,
4744,,365.0,150.0,perennial crops,,,,
4755,,365.0,150.0,perennial crops,,,,
4768,,180.0,120.0,arable irrigated,,,"home garden, small scale (manual)",
4772,,210.0,120.0,,,,,
4779,,210.0,90.0,,,,,
4804,,365.0,365.0,,,,,
4854,,200.0,40.0,,,,,
4855,,180.0,120.0,,,,,
4873,,0.0,0.0,,,,,
4880,,0.0,0.0,,,,,
4893,,180.0,150.0,,,,,
4899,,210.0,150.0,perennial crops,,,small scale (manual),
4916,,365.0,365.0,,,,,
4926,,180.0,120.0,,,,,
4935,,0.0,0.0,,,,,
4959,,0.0,0.0,,,,,
4999,,0.0,0.0,,,,,
5008,,80.0,40.0,,,,,
5012,,,,,,,,
5030,,0.0,0.0,,,,,
5032,,120.0,40.0,,,,,
5033,,120.0,90.0,,,,,
5035,,190.0,170.0,,,,,
5042,,365.0,365.0,,,,,
5066,,300.0,300.0,,,,,
5117,,270.0,180.0,,,,,
5138,,300.0,1500.0,arable irrigated,,,"home garden, small scale (manual)",sole cropping
5148,,365.0,300.0,perennial crops,,,home garden,
5158,,120.0,90.0,,,,,
5163,,0.0,0.0,,,,,
5181,,,,,,,,
5232,,365.0,240.0,,,,,
5233,,365.0,240.0,,,,,
5235,,365.0,240.0,,,,,
5236,,365.0,180.0,,,,,
5238,,365.0,240.0,,,,,
5275,,365.0,365.0,,,,,
5302,,365.0,365.0,,,,,
5310,,0.0,0.0,,,,,
5329,,130.0,90.0,,,,,
5343,,300.0,210.0,,,,,
5349,,365.0,210.0,perennial crops,,,small scale (manual),
5350,,365.0,365.0,,,,,
5369,,365.0,280.0,,,,,
5382,,300.0,240.0,,,,,
5387,,365.0,200.0,,,,,
5408,,180.0,160.0,,,,,
5429,,330.0,280.0,,,,,
5464,,300.0,180.0,,,,,
5465,,330.0,240.0,,,,,
5466,,365.0,365.0,,,,"home garden, small scale (manual)",
5474,,270.0,240.0,,,,,
5521,,365.0,365.0,,,,,
5534,,210.0,120.0,,,,,
5536,,365.0,150.0,,,,,
5597,,120.0,40.0,,,,,
5608,,0.0,0.0,,,,,
5622,,365.0,30.0,,,,,
5632,,330.0,240.0,,,,,
5657,,180.0,75.0,,,,,
5664,,180.0,70.0,,,,,
5700,,,,,,,,
5706,,365.0,180.0,,,,,
5719,,0.0,0.0,,,,,
5723,,0.0,0.0,,,,,
5728,,90.0,45.0,,,,,
5746,,,,,,,,
5794,,150.0,70.0,,,,"home garden, small scale (manual)",
5805,"coffee, cacao, pepper, betel, grape",365.0,365.0,perennial crops,,,,inter-planting
5967,,365.0,210.0,perennial crops,,,home garden,
5995,,365.0,365.0,,,,,
6001,,365.0,300.0,,,,,
6002,,210.0,140.0,,,,,
6051,,365.0,365.0,,,,,
6052,,365.0,365.0,,,,,
6054,,365.0,365.0,,,,small scale (manual),
6075,,85.0,70.0,,,,large scale/commercial,
6076,,85.0,70.0,,,,,
6078,,280.0,95.0,,,,,
6080,,210.0,150.0,perennial crops,,,large scale/commercial,
6082,,,,,,,,
6114,,0.0,0.0,,,,,
6149,,365.0,365.0,,,,,
6199,banana,365.0,365.0,perennial crops,,,,inter-culture
6212,,365.0,270.0,,,,,
6252,,365.0,210.0,,,,,
6256,,270.0,120.0,,,,,
6262,,270.0,120.0,,,,,
6309,,0.0,0.0,,,,,
6313,,0.0,0.0,,,,,
6353,,365.0,300.0,,,,,
6384,,330.0,210.0,,,,,
6397,,365.0,270.0,,,,,
6401,,210.0,120.0,,,,,
6435,,0.0,0.0,,,,,
6458,,0.0,0.0,,,,,
6500,,90.0,60.0,,,,,
6502,,90.0,45.0,,,,,
6520,,330.0,260.0,perennial crops,,,home garden,
6523,,0.0,0.0,,,,,
6551,,365.0,365.0,,,,,
6562,,240.0,150.0,,,,,
6567,,,,,,,,
6569,,0.0,0.0,,,,,
6579,,0.0,0.0,,,,,
6663,,0.0,0.0,,,,,
6708,,120.0,90.0,,,,"home garden, small scale (manual)",
6732,,180.0,120.0,,,,,
6733,,180.0,120.0,,,,,
6754,,150.0,120.0,,,,,
6779,,210.0,150.0,,,,,
6809,coffee,365.0,240.0,perennial crops,,,,inter-culture
6837,,365.0,240.0,,,,,
6893,,365.0,210.0,permanent rainfed,,,"home garden, small scale (manual)",alley cropping
6896,"coffee, cacao",365.0,365.0,perennial crops,,,,inter-culture
6901,,0.0,0.0,,,,,
6955,,0.0,0.0,,,,,
6958,,365.0,365.0,,,,,
7000,,365.0,365.0,,,,,
7010,,180.0,120.0,,,,"home garden, small scale (manual)",
7013,,180.0,150.0,,,,,
7014,,180.0,150.0,,,,,
7022,,0.0,0.0,,,,,
7056,,150.0,90.0,,,,,
7081,,365.0,60.0,,,,,
7103,,0.0,0.0,,,,,
7164,,190.0,100.0,,,,,
7208,,180.0,100.0,,,,,
7209,,240.0,70.0,,,,,
7220,,,,,,,,
7227,,105.0,10.0,,,,,
7277,,160.0,140.0,perennial crops,,,,ley cropping
7330,,0.0,0.0,,,,,
7364,,300.0,210.0,,,,,
7412,,180.0,120.0,,,,,
7431,"oat, other cereals, forage legumes",180.0,90.0,arable irrigated,,,large scale/commercial,inter-cropping
