scientific_name,crop_id
Bambusa arundinacea,3613
Bambusa blumeana,3618
Bassia latifolia,3655
Bauhinia esculenta,3659
Bauhinia rufescens,3669
Beckmannia eruciformis,3673
Bellis perennis,3682
Berberis vulgaris,3696
Berchemia discolor,3697
Bertholletia excelsa,3699
Beta vulgaris var. crassa,3712
Beta vulgaris var. flavescens,3713
Betula pendula,3721
Betula pubescens,3722
Borago officinalis,3761
Borassus flabellifer,3765
Borojoa patinoi,3771
Brachiaria ramosa,3814
Brassica carinata,3848
Brassica napus var. napobrassica,3861
Brassica oleracea var. acephala,3867
Brassica rapa Gaisin gr.,3877
Brassica rapa Pak Choi,3878
Brassica rapa var. rapifera,3881
Bridelia micrantha,3896
Buchanania latifolia,3957
Butomus umbellatus,3988
Buxus sempervirens,3993
Calathea allouia,4037
Caltha palustris,4081
Camellia sinensis var. assamica,4089
Camellia sinensis var. sinensis,4090
Campanula rapunculus,4094
Canarium ovatum,4111
Capparis decidua,4145
Capparis spinosa,4159
Capparis tomentosa,4161
Carica pubescens,4218
Carissa carandas,4223
Carissa edulis,4225
Carissa macrocarpa,4229
Carum carvi,4256
Caryocar nuciferum,4271
Caryodendron orinocense,4273
Caryota urens,4278
Cassia auriculata,4281
Cassia tomentosa,4305
Castanea crenata,4312
Castanea dentata,4313
Castanea mollissima,4314
Castanea pumila,4315
Casuarina glauca,4341
Centaurea cyanus,4398
Cephaelis ipecacuanha,4414
Ceratonia siliqua,4426
Ceriops tagal,4435
Chamaedorea sp.,4465
Chamaedorea tepejilote,4466
Chenopodium album ssp. album,4481
Chenopodium bonus-henricus,4485
Chenopodium pallidicaule,4494
Chlorogalum pomeridianum,4509
Chrysanthemum coronarium var. coronarium,4524
Chrysanthemum leucanthemum,4528
Chrysophyllum albidum,4538
Citrofortunella x microcarpa,4617
Citrullus colocynthis,4618
Citrus deliciosa,4626
Citrus latifolia,4631
Citrus madurensis,4635
Citrus unshiu,4646
Clausena lansium,4659
Cnidoscolus chayamansa,4704
Cola acuminata,4744
Cola nitida,4755
Coleus parviflorus,4768
Colocasia esculenta var. antiquorum,4772
Colophospermum mopane,4779
Commiphora africana,4804
Cordeauxia edulis,4854
Cordia africana,4855
Cornus canadensis,4873
Cornus mas,4880
Corylus colurna var. colurna,4893
Corylus maxima,4899
Coula edulis,4916
Crambe maritima,4926
Crataegus monogyna,4935
Crithmum maritimum,4959
Cryptotaenia japonica,4999
Cucumis anguria,5008
Cucumis ficifolius,5012
Cucurbita argyrosperma,5030
Cucurbita ficifolia,5032
Cucurbita foetidissima,5033
Cucurbita mixta,5035
Cullenia rosayroana,5042
Curcuma zedoaria,5066
Cydonia oblonga,5117
Cynara cardunculus,5138
Cynometra cauliflora,5148
Cyperus esculentus,5158
Cyperus longus,5163
Dacryodes edulis,5181
Dendrocalamus asper,5232
Dendrocalamus hamiltonii,5233
Dendrocalamus longispathus,5235
Dendrocalamus merrillianus,5236
Dendrocalamus strictus,5238
Dialium guineense,5275
Dichrostachys cinerea,5302
Dictamnus albus,5310
Digitaria exilis,5329
Dillenia pentagyna,5343
Dimocarpus longan var. longan,5349
Dimocarpus longan var. malesianus,5350
Dioscorea cayenensis,5369
Dioscorea dumetorum,5382
Dioscorea floribunda,5387
Dioscorea opposita,5408
Dioscorea trifida,5429
Diospyros malabarica,5464
Diospyros melanoxylon,5465
Diospyros mespiliformis,5466
Diospyros virginiana,5474
Dobera glabra,5521
Dovyalis caffra,5534
Dovyalis hebecarpa,5536
Echinochloa frumentacea,5597
Echium vulgare,5608
Eichhornia crassipes,5622
Elaeis oleifera,5632
Eleusine coracana ssp. coracana,5657
Elymus condensatus,5664
Ensete ventricosum,5700
Enterolobium cyclocarpum,5706
Epilobium angustifolium,5719
Equisetum arvense,5723
Eragrostis cilianensis,5728
Eragrostis tef,5746
Eruca sativa,5794
Erythrina edulis,5805
Eugenia dombeyi,5967
Eugenia stipitata,5995
Eugenia uniflora,6001
Eugenia uvalha,6002
Euterpe chaunostachys,6051
Euterpe edulis,6052
Euterpe oleracea,6054
Fagopyrum emarginatum,6075
Fagopyrum tataricum,6076
Fagus grandifolia,6078
Fagus sylvatica ssp. sylvatica,6080
Faidherbia albida,6082
Ficus abutilifolia,6114
Ficus glumosa,6149
Ficus sycomorus,6199
Ficus vogelii,6212
Fortunella hindsii,6252
Fragaria chiloensis,6256
Fragaria virginiana,6262
Galium aparine,6309
Galium verum,6313
Garcinia multiflora,6353
Garuga pinnata,6384
Genipa americana,6397
Genista tinctoria,6401
Glechoma hederacea,6435
Glyceria fluitans,6458
Gracilaria tenuistipitata,6500
Gracilaria verrucosa,6502
Grewia asiatica,6520
Grewia bicolor,6523
Grewia tiliifolia,6551
Guazuma ulmifolia,6562
Guizotia abyssinica,6567
Gunnera tinctoria,6569
Gynandropsis gynandra,6579
Heracleum sphondylium,6663
Hibiscus sabdariffa var. sabdariffa,6708
Hippophae rhamnoides,6732
Hippophae salicifolia,6733
Hordeum bulbosum,6754
Humulus lupulus,6779
